siteID,Park,xcoord,ycoord,mdcaty,panel,wgt,lake_id,lake_area,lake_perim
Y035-Out,YOSE,266032.5666,4214538.301,4,OverSamp,15.75,70301,13997,504
Y036-Out,YOSE,283857.3722,4167155.26,2,OverSamp,7.714285714,70500,34203,924
Y037-Out,YOSE,251446.3724,4204069.961,1,OverSamp,10.2,70594,66493,1024
Y038-Out,YOSE,294668.0255,4185565.29,2,OverSamp,7.714285714,70599,73049,1385
Y039-Out,YOSE,278245.6948,4213111.737,3,OverSamp,11,70223,10181,533
Y040-Out,YOSE,295455.7836,4173861.138,4,OverSamp,15.75,70425,23067,792
Y041-Out,YOSE,254169.2435,4216647.386,4,OverSamp,15.75,70552,47270,2078
Y042-Out,YOSE,291480.6747,4191280.328,1,OverSamp,10.2,70630,105160,1670
Y043-Out,YOSE,282987.2216,4216848.454,4,OverSamp,15.75,70642,143501,3210
Y044-Out,YOSE,287476.32,4160757.024,1,OverSamp,10.2,70589,64073,1362
Y045-Out,YOSE,251233.615,4219296.791,2,OverSamp,7.714285714,70335,15832,703
Y046-Out,YOSE,278098.6115,4193096.597,2,OverSamp,7.714285714,70220,10112,486
Y047-Out,YOSE,293262.2121,4213656.384,2,OverSamp,7.714285714,70619,94296,1170
Y048-Out,YOSE,267584.1497,4173803.948,1,OverSamp,10.2,70725,13982,548
Y049-Out,YOSE,302407.8625,4182815.801,3,OverSamp,11,70344,16265,496
Y050-Out,YOSE,292705.4274,4189562.592,1,OverSamp,10.2,70483,30226,692
Y051-Out,YOSE,267133.6794,4218969.778,6,OverSamp,26.5,70624,100195,3314
Y052-Out,YOSE,295942.3729,4171525.982,4,OverSamp,15.75,70394,20408,535
Y053-Out,YOSE,261368.985,4215396.869,3,OverSamp,11,70311,14330,564
Y054-Out,YOSE,294551.3197,4182437.095,2,OverSamp,7.714285714,70620,94543,1314
Y055-Out,YOSE,282043.8513,4207939.842,6,OverSamp,26.5,70331,15583,479
Y056-Out,YOSE,299332.3287,4176924.728,6,OverSamp,26.5,70279,12647,531
Y057-Out,YOSE,260418.353,4214145.063,3,OverSamp,11,70368,17812,668
Y058-Out,YOSE,269687.5396,4196838.218,1,OverSamp,10.2,70352,16961,580
Y059-Out,YOSE,298037.7958,4201497.64,2,OverSamp,7.714285714,70686,21871,712
Y060-Out,YOSE,264580.496,4170737.574,1,OverSamp,10.2,70417,22704,862
Y061-Out,YOSE,283974.1156,4193256.94,1,OverSamp,10.2,70593,65243,1427
Y062-Out,YOSE,279997.1945,4193221.521,3,OverSamp,11,70264,11819,655
Y063-Out,YOSE,289828.5478,4170562.758,4,OverSamp,15.75,70278,12544,537
Y064-Out,YOSE,277691.424,4160860.237,2,OverSamp,7.714285714,70562,50165,964
Y065-Out,YOSE,269349.1006,4215771.505,5,OverSamp,16,70283,12912,500
Y066-Out,YOSE,284034.2927,4171038.992,3,OverSamp,11,70359,17383,547
Y067-Out,YOSE,267131.1931,4224297.919,3,OverSamp,11,70658,228405,2440
Y068-Out,YOSE,274317.0378,4215271.828,5,OverSamp,16,70652,201693,5050
Y069-Out,YOSE,286614.9774,4174914.289,5,OverSamp,16,70437,24532,627
Y070-Out,YOSE,256222.0697,4214263.985,5,OverSamp,16,70590,64424,1450
Y071-Out,YOSE,285104.6605,4188720,1,OverSamp,10.2,70544,45609,1158
Y072-Out,YOSE,299935.131,4177523.436,6,OverSamp,26.5,70445,25790,799
Y073-Out,YOSE,261796.02,4210922.754,2,OverSamp,7.714285714,70512,37961,1183
Y074-Out,YOSE,278971.4312,4197722.633,2,OverSamp,7.714285714,70615,90726,1148
Y075-Out,YOSE,293713.3199,4206808.684,4,OverSamp,15.75,70370,18206,578
Y076-Out,YOSE,302203.6198,4190062.273,2,OverSamp,7.714285714,70602,74064,1097
Y077-Out,YOSE,265508.3988,4213549.367,4,OverSamp,15.75,70395,20459,647
Y078-Out,YOSE,286755.5869,4166804.504,3,OverSamp,11,70563,50412,1472
Y079-Out,YOSE,273198.0661,4228553.56,3,OverSamp,11,70660,250314,3245
Y080-Out,YOSE,278661.5783,4214042.373,3,OverSamp,11,70247,10830,649
Y081-Out,YOSE,287357.9939,4179518.541,3,OverSamp,11,70659,247841,2247
Y082-Out,YOSE,254887.0955,4218516.437,3,OverSamp,11,70355,17011,773
Y083-Out,YOSE,289205.7039,4190941.57,1,OverSamp,10.2,70571,52043,1144
Y084-Out,YOSE,295379.8557,4178215.638,5,OverSamp,16,70309,14266,450
Y085-Out,YOSE,250297.8411,4215611.457,2,OverSamp,7.714285714,70670,479113,6221
Y086-Out,YOSE,277967.0786,4198244.067,2,OverSamp,7.714285714,70606,76402,1350
Y087-Out,YOSE,294407.7985,4201438.682,1,OverSamp,10.2,70416,22684,673
Y088-Out,YOSE,304183.8521,4187419.364,3,OverSamp,11,70556,48839,1298
Y089-Out,YOSE,268169.4502,4212638.075,5,OverSamp,16,70439,24967,918
Y090-Out,YOSE,297206.8224,4172232.114,4,OverSamp,15.75,70526,41112,895
